teach-node-06:40490, 1, teach-node-06:40490, 10:36:50.305501000, 10:36:50.450425000, 
teach-node-06:40290, 1, teach-node-06:40490, 10:36:50.305503000, 10:36:50.605968000, 
teach-node-06:40190, 1, teach-node-06:40490, 10:36:50.306273000, 10:36:50.533969000, 
teach-node-06:40390, 1, teach-node-06:40490, 10:36:50.305889000, , 
teach-node-06:40390, 2, teach-node-06:40490, 10:36:50.420351000, , 
teach-node-06:40390, 3, teach-node-06:40490, 10:36:50.420861000, , 
teach-node-06:40390, 4, teach-node-06:40490, 10:36:50.421334000, , 
teach-node-06:40390, 5, teach-node-06:40490, 10:36:50.421855000, , 
teach-node-06:40390, 6, teach-node-06:40490, 10:36:50.422327000, , 
teach-node-06:40290, 2, teach-node-06:40490, 10:36:50.419124000, 10:36:50.648394000, 
teach-node-06:40290, 3, teach-node-06:40490, 10:36:50.431689000, 10:36:50.649430000, 
teach-node-06:40290, 4, teach-node-06:40490, 10:36:50.432543000, 10:36:50.650007000, 
teach-node-06:40290, 5, teach-node-06:40490, 10:36:50.433026000, 10:36:50.650591000, 
teach-node-06:40290, 6, teach-node-06:40490, 10:36:50.433494000, , 
teach-node-06:40290, 7, teach-node-06:40490, 10:36:50.434023000, , 
teach-node-06:40290, 8, teach-node-06:40490, 10:36:50.434458000, , 
teach-node-06:40290, 9, teach-node-06:40490, 10:36:50.434896000, , 
teach-node-06:40290, 10, teach-node-06:40490, 10:36:50.435279000, , 
teach-node-06:40290, 11, teach-node-06:40490, 10:36:50.435642000, , 
teach-node-06:40190, 2, teach-node-06:40490, 10:36:50.424904000, 10:36:50.537953000, 
teach-node-06:40190, 3, teach-node-06:40490, 10:36:50.436453000, 10:36:50.545476000, 
teach-node-06:40190, 4, teach-node-06:40490, 10:36:50.437771000, 10:36:50.567177000, 
teach-node-06:40190, 5, teach-node-06:40490, 10:36:50.438213000, 10:36:50.585708000, 
teach-node-06:40190, 6, teach-node-06:40490, 10:36:50.438815000, 10:36:50.586384000, 
